"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","pmi_latest","ciss_last_date_latest","pmi_last_release_date_latest","pmi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest","real_time_vintage_date","real_time_release_round","days_after_quarter_end","gdp_growth_real_time","recession_real_time","ciss_real_time","pmi_real_time","ciss_last_date_real_time","pmi_last_release_date_real_time","pmi_months_available_real_time","training_observations_real_time","training_recessions_real_time","prob_recession_real_time","lower_95_real_time","upper_95_real_time","growth_revision","classification_revised","probability_revision","absolute_probability_revision"
"2011-Q2",2026-05-13,-0.00764652222046136,0,0.278044127154962,55.6333333333333,2011-06-30,2011-06-26,3,0.00696683881269584,0.000247531806599208,0.0315223504671334,,,,,,,,,,,,,,,,,,,
"2011-Q3",2026-05-13,0.0174284962289661,0,0.524842434612725,50.3,2011-09-30,2011-09-26,3,0.109423694345534,0.00963364965772259,0.361498728800884,,,,,,,,,,,,,,,,,,,
"2011-Q4",2026-05-13,-0.303422579782575,0,0.585703317751044,47.2666666666667,2011-12-30,2011-12-26,3,0.363104181168458,0.0666896489972366,0.766008621596685,,,,,,,,,,,,,,,,,,,
"2012-Q1",2026-05-13,-0.243215715865075,1,0.372439248409914,49.6,2012-03-30,2012-03-26,3,0.121619647299372,0.0283987287171511,0.283381241426244,,,,,,,,,,,,,,,,,,,
"2012-Q2",2026-05-13,-0.360696204036137,1,0.313818035781563,46.3666666666667,2012-06-29,2012-06-26,3,0.43235072831457,0.207650602518215,0.69620620644713,,,,,,,,,,,,,,,,,,,
"2012-Q3",2026-05-13,-0.131097702904115,1,0.287867321451241,46.3,2012-09-28,2012-09-26,3,0.438177743414513,0.211375305431358,0.698269736533801,,,,,,,,,,,,,,,,,,,
"2012-Q4",2026-05-13,-0.431458190722533,1,0.0984904237116712,46.4666666666667,2012-12-31,2012-12-26,3,0.398407220470967,0.136343305904247,0.696043972621331,,,,,,,,,,,,,,,,,,,
"2013-Q1",2026-05-13,-0.329924536945136,1,0.0838136550334725,47.6666666666667,2013-03-29,2013-03-26,3,0.254442295725945,0.0853207719568352,0.485782423841814,,,,,,,,,,,,,,,,,,,
"2013-Q2",2026-05-13,0.655145462189743,0,0.067058705130833,47.7666666666667,2013-06-28,2013-06-26,3,0.243773662007979,0.0768643976139111,0.473807362102149,,,,,,,,,,,,,,,,,,,
"2013-Q3",2026-05-13,0.296362390799332,0,0.0374661467073727,51.4,2013-09-30,2013-09-26,3,0.0409567589377669,0.00784303367353074,0.106208021421732,,,,,,,,,,,,,,,,,,,
"2013-Q4",2026-05-13,0.208465102177469,0,0.0146982261394656,51.9,2013-12-31,2013-12-26,3,0.0317525555931015,0.00506009094811625,0.0889769081484894,,,,,,,,,,,,,,,,,,,
"2014-Q1",2026-05-13,0.469194710234899,0,0.0168473033687474,53.1,2014-03-31,2014-03-26,3,0.0173903173592454,0.00208561767567759,0.0529966350905094,,,,,,,,,,,,,,,,,,,
"2014-Q2",2026-05-13,0.23486334231877,0,0.00474048524064456,53.4333333333333,2014-06-30,2014-06-26,3,0.0147463316955747,0.00157219076821603,0.0469689222255617,,,,,,,,,,,,,,,,,,,
"2014-Q3",2026-05-13,0.486307050416857,0,0.0129784056448137,52.7666666666667,2014-09-30,2014-09-26,3,0.0205105612179872,0.00268467465274974,0.0599139073754579,2014-11-14,1,45,0.161347516532917,0,0.0129784056448137,52.7666666666667,2014-09-30,2014-09-26,3,64,10,0.0108992618914578,0.000198440701699123,0.0513018220919045,0.324959533883939,FALSE,0.00961129932652935,0.00961129932652935
"2014-Q4",2026-05-13,0.37553206797718,0,0.0232098560842145,51.5333333333333,2014-12-31,2014-12-26,3,0.0382728635867964,0.00682025497872918,0.101908314272112,2015-02-13,1,44,0.339919441124859,0,0.0232098560842145,51.5333333333333,2014-12-31,2014-12-26,3,65,9,0.0404948163869879,0.00278685913859676,0.132502026867106,0.0356126268523216,FALSE,-0.00222195280019145,0.00222195280019145
"2015-Q1",2026-05-13,0.7545053724757,0,0.0873537673818193,53.3,2015-03-31,2015-03-26,3,0.0161018525844312,0.00194705294707914,0.0494715474450825,2015-05-13,1,43,0.400088126752696,0,0.0873537673818193,53.3,2015-03-31,2015-03-26,3,66,10,0.0102020264803121,0.000284697924519214,0.0490640089423517,0.354417245723004,FALSE,0.00589982610411911,0.00589982610411911
"2015-Q2",2026-05-13,0.422057492505568,0,0.120130703562686,53.9,2015-06-30,2015-06-26,3,0.0123595311391408,0.00119373596430713,0.0412265956717843,2015-08-14,1,45,0.311294865911771,0,0.120130703562686,53.9,2015-06-30,2015-06-26,3,67,10,0.00713095861427954,0.000212237823394353,0.032655723127194,0.110762626593797,FALSE,0.00522857252486128,0.00522857252486128
