"vintage_date","target_quarter","release_round","days_after_quarter_end","gdp_growth_vintage","recession_vintage","ciss_as_of","esi_as_of","ciss_last_date","esi_last_release_date","esi_months_available","training_observations","training_recessions","ciss_training_mean","ciss_training_sd","esi_training_mean","esi_training_sd","prob_recession","lower_95","upper_95","status","error_message"
2021-07-30,"2021-Q2",1,30,2.02472249889989,0,0.0103871337135271,111.366666666667,2021-06-30,2021-06-29,3,93,12,0.166019719794538,0.175923720547753,100.707168458781,10.2551528811146,0.00438380332640531,0.000124764720931259,0.0180084589905627,"ok",
2021-10-29,"2021-Q3",1,29,2.21131984239484,0,0.0100009464953598,118.9,2021-09-30,2021-09-29,3,94,12,0.164364053985166,0.175710114635458,100.820567375887,10.2589519801962,0.00129743895474557,1.03542822585747e-05,0.00765089161264443,"ok",
2022-01-31,"2021-Q4",1,31,0.294475667231042,0,0.0455117277858434,117.733333333333,2021-12-31,2021-12-29,3,95,12,0.162739179169483,0.175489081798107,101.010877192982,10.3714584283777,0.0017188048184148,1.5589282919625e-05,0.0100270976179879,"ok",
2022-04-29,"2022-Q1",1,29,0.189101044030071,0,0.171451493056781,111.866666666667,2022-03-31,2022-03-29,3,96,12,0.161518059884237,0.174972551312258,101.185069444444,10.4569491931383,0.00591195341930179,0.000177818209575828,0.0273218411756591,"ok",
2022-07-29,"2022-Q2",1,29,0.688445751946043,0,0.38421936859953,104.9,2022-06-30,2022-06-29,3,97,11,0.161620466411789,0.174061772396884,101.295189003436,10.4587284007837,0.0371811076137953,0.00296969830760222,0.124688743954014,"ok",
2022-10-31,"2022-Q3",1,31,0.183985314769308,0,0.422048667080799,97.8,2022-09-30,2022-09-29,3,98,11,0.163891883781052,0.17461606528507,101.331972789116,10.4110478793712,0.0869880021882378,0.011186424326493,0.252016116976877,"ok",
2023-01-31,"2022-Q4",1,31,0.118371541953111,0,0.483664635923476,95.5666666666667,2022-12-30,2022-12-29,3,99,11,0.166499528056807,0.175649711087516,101.296296296296,10.363875085002,0.154518920101471,0.0183081928575569,0.413921216397373,"ok",
2023-04-28,"2023-Q1",1,28,0.0842817863045298,0,0.188023906861624,98.7666666666667,2023-03-31,2023-03-29,3,100,10,0.169671179135474,0.177615070883613,101.239,10.3273057852058,0.0242158432220233,0.00304312658887565,0.0719512354991386,"ok",
2023-07-31,"2023-Q2",1,31,0.270638549048652,0,0.150025812731127,97.1666666666667,2023-06-30,2023-06-29,3,101,10,0.16985288931098,0.176734199147526,101.214521452145,10.2784839087847,0.0350295694081357,0.00541748242056685,0.0920573135583246,"ok",
2023-10-31,"2023-Q3",1,31,-0.0918824974039389,0,0.0818075751277615,94.4,2023-09-29,2023-09-29,3,102,10,0.169658506207256,0.175868058491337,101.174836601307,10.2353240194836,0.0653274171010614,0.0109088573990179,0.171558039338458,"ok",
2024-01-30,"2023-Q4",1,30,0.0305406435469724,0,0.105468745064583,94.8333333333333,2023-12-29,2023-12-29,3,103,10,0.16880558454629,0.175217786888042,101.109061488673,10.2068798556292,0.0563107562138516,0.00997566822492376,0.143220170895435,"ok",
2024-04-30,"2024-Q1",1,30,0.332716560251933,0,0.0418351657339184,95.6666666666667,2024-03-29,2024-03-29,3,104,11,0.16819657647435,0.174475714293775,101.048717948718,10.1758358811864,0.0626776441065906,0.0125532486465998,0.171774714778996,"ok",
2024-07-31,"2024-Q2",1,31,0.258560797349605,0,0.0291323029062761,96.3,2024-06-28,2024-06-29,3,105,10,0.166993134467299,0.174072209540318,100.99746031746,10.1404071287033,0.0307501188719864,0.00270001283171929,0.101437703158946,"ok",
2024-10-30,"2024-Q3",1,30,0.37438320998171,0,0.0863539680323694,96.3333333333333,2024-09-30,2024-09-29,3,106,11,0.165692560584648,0.173758021689265,100.953144654088,10.1023123533524,0.0489280912059174,0.0107490616315919,0.121502821585937,"ok",
2025-01-30,"2024-Q4",1,30,0.0291195333180783,0,0.0418226797089082,95.3666666666667,2024-12-31,2024-12-29,3,107,11,0.164951078411262,0.173106468622247,100.909968847352,10.0644612259381,0.0597649672575126,0.0106352089305036,0.150879556368241,"ok",
2025-05-15,"2025-Q1",1,45,0.329788374059836,0,0.0180870663135409,95.7333333333333,2025-03-31,2025-03-29,3,108,9,0.163811000645499,0.172702549953765,100.858641975309,10.0315120011641,0.0536607144551264,0.00919412166459491,0.142711898502333,"ok",
2025-07-30,"2025-Q2",1,30,0.105334499843912,0,0.0714056076021962,95.0333333333333,2025-06-30,2025-06-29,3,109,10,0.162474083816766,0.172466875929576,100.811620795107,9.9970225774749,0.0758198721641399,0.0202360114224223,0.16207775294716,"ok",
2025-10-30,"2025-Q3",1,30,0.222079001285702,0,0.0266932433822059,95.8666666666667,2025-09-30,2025-09-29,3,110,11,0.161646188578451,0.171893368585397,100.759090909091,9.966298622776,0.0754926194434068,0.0210604754691495,0.17224728052082,"ok",
2026-01-30,"2025-Q4",1,30,0.334193031029573,0,0.0335761303459994,97.0666666666667,2025-12-31,2025-12-29,3,111,11,0.160430396279386,0.171589023025205,100.715015015015,9.93175576118203,0.0598945270837912,0.0163066795100909,0.133339106289647,"ok",
2026-05-13,"2026-Q1",1,43,0.145795873349397,0,0.0359603195188705,97.8,2026-03-31,2026-03-29,3,112,11,0.159297768904981,0.171234403818596,100.68244047619,9.89292520772265,0.0529043639356773,0.0134274098738456,0.117243069467908,"ok",
