"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","esi_latest","ciss_last_date_latest","esi_last_release_date_latest","esi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest"
"2004-Q3",2026-05-13,0.22495378450802,0,0.051034824333343,100.333333333333,2004-09-30,2004-09-29,3,0.0356472132959249,0.00888137308276335,0.0845430016066363
"2004-Q4",2026-05-13,0.444912863187907,0,0.0315937514388749,100.166666666667,2004-12-31,2004-12-29,3,0.0357085479121411,0.00861487292894885,0.0861729025157507
"2005-Q1",2026-05-13,0.269891416475909,0,0.0286379660034678,99.4666666666667,2005-03-31,2005-03-29,3,0.0397827124563106,0.00981339255531839,0.0948093610525224
"2005-Q2",2026-05-13,0.616725876759672,0,0.0399227790981491,97.6,2005-06-30,2005-06-29,3,0.0544155414183542,0.0152672707314018,0.127980286250589
"2005-Q3",2026-05-13,0.744640432452526,0,0.0303397985648732,99.7666666666667,2005-09-30,2005-09-29,3,0.03799808656607,0.00921721148821316,0.0906330917898479
"2005-Q4",2026-05-13,0.697829494921653,0,0.0165046467752521,103,2005-12-30,2005-12-29,3,0.0224683342494112,0.0040861395682084,0.0593087767760704
"2006-Q1",2026-05-13,0.942524998224581,0,0.0269459682740681,106.033333333333,2006-03-31,2006-03-29,3,0.0144084010649778,0.00201425799263286,0.0422468577422119
"2006-Q2",2026-05-13,1.09992664853515,0,0.0419565124116522,108.833333333333,2006-06-30,2006-06-29,3,0.00984387774524052,0.000978353541612758,0.0331744163991759
"2006-Q3",2026-05-13,0.54494088632866,0,0.0248967089929023,110.066666666667,2006-09-29,2006-09-29,3,0.00804557198419868,0.000660335613451696,0.028828179006427
"2006-Q4",2026-05-13,1.16940652119666,0,0.00654996093734031,112.066666666667,2006-12-29,2006-12-29,3,0.00592267557066643,0.000364368462260247,0.0231282044135589
"2007-Q1",2026-05-13,0.700389157321291,0,0.0303958565839606,111.7,2007-03-30,2007-03-29,3,0.00648685803160117,0.000432345886269811,0.025212222362502
"2007-Q2",2026-05-13,0.671767026981951,0,0.00689482675996685,112.066666666667,2007-06-29,2007-06-29,3,0.00592611585547193,0.000364609611940315,0.0231160940970337
"2007-Q3",2026-05-13,0.38617287274354,0,0.152461391544887,109.933333333333,2007-09-28,2007-09-29,3,0.0104870815765993,0.000803023492327603,0.0363638157911157
"2007-Q4",2026-05-13,0.508341050968353,0,0.167653341561399,107.066666666667,2007-12-31,2007-12-29,3,0.0160297404375077,0.00183484877287077,0.0486979686768114
"2008-Q1",2026-05-13,0.641938527679087,0,0.429018701931111,103.266666666667,2008-03-31,2008-03-29,3,0.0517601652095402,0.00541776723754791,0.174077569933099
"2008-Q2",2026-05-13,-0.488552541263909,0,0.341197172882941,97.8333333333333,2008-06-30,2008-06-29,3,0.0878441297931334,0.0227333011656739,0.204606072030492
"2008-Q3",2026-05-13,-0.545272975863109,1,0.396136097023361,90.0666666666667,2008-09-30,2008-09-29,3,0.279328404651586,0.109913399345645,0.522671025349208
"2008-Q4",2026-05-13,-1.72198635030273,1,0.900654255991352,76.4666666666667,2008-12-31,2008-12-29,3,0.843592127475553,0.396299346733761,0.996243403623857
"2009-Q1",2026-05-13,-3.06501042136363,1,0.856287651668829,68.6,2009-03-31,2009-03-29,3,0.938604747658939,0.682319558021234,0.999220978752549
"2009-Q2",2026-05-13,0.0029292063414621,0,0.630239149763181,73.1666666666667,2009-06-30,2009-06-29,3,0.873855789777863,0.558122991501974,0.994215288641136
"2009-Q3",2026-05-13,0.35773556748504,0,0.390394442865016,83.4,2009-09-30,2009-09-29,3,0.534098878293904,0.249591298161073,0.833168876721676
